service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
1,1,1,1,1,1,1,1,20070101,20170101
2,1,1,1,1,1,1,1,20070101,20170101
3,1,1,1,1,1,1,1,20070101,20170101
4,1,1,1,1,1,1,1,20070101,20170101
5,1,1,1,1,1,1,1,20070101,20170101
6,1,1,1,1,1,1,1,20070101,20170101
7,1,1,1,1,1,1,1,20070101,20170101
8,1,1,1,1,1,1,1,20070101,20170101
9,1,1,1,1,1,1,1,20070101,20170101
10,1,1,1,1,1,1,1,20070101,20170101
11,1,1,1,1,1,1,1,20070101,20170101
12,1,1,1,1,1,1,1,20070101,20170101
13,1,1,1,1,1,1,1,20070101,20170101
14,1,1,1,1,1,1,1,20070101,20170101
15,1,1,1,1,1,1,1,20070101,20170101
16,1,1,1,1,1,1,1,20070101,20170101
17,1,1,1,1,1,1,1,20070101,20170101
18,1,1,1,1,1,1,1,20070101,20170101
19,1,1,1,1,1,1,1,20070101,20170101
