shape_id,shape_pt_sequence,shape_dist_traveled,shape_pt_lon,shape_pt_lat
_9,0,,14.519957999999999,46.081427000000005
_9,1,,14.519210000000001,46.072091
_9,2,,14.518773,46.070777
_9,3,,14.513084000000001,46.064394
_9,4,,14.512944,46.063912
_9,5,,14.510279,46.063454
_9,6,,14.508379999999999,46.063575
_9,7,,14.510467,46.063382000000004
_9,8,,14.512944,46.063912
_9,9,,14.513546,46.061855
_9,10,,14.512704,46.059767
_9,11,,14.507284000000002,46.059717
_9,12,,14.507116,46.059967
_9,13,,14.507551000000001,46.061486
_9,14,,14.50452,46.054548999999994
_9,15,,14.506018000000001,46.057694
_9,16,,14.504531,46.054465
_9,17,,14.508233,46.053617
_9,18,,14.508854,46.0539
_9,19,,14.510525999999999,46.053595
_9,20,,14.510333,46.052312
_9,21,,14.510675,46.050765
_9,22,,14.515116,46.050264
_9,23,,14.517938000000001,46.049163
_9,24,,14.519685,46.048845
_9,25,,14.519206,46.052349
_9,26,,14.519685,46.048845
_9,27,,14.519206,46.052349
_9,28,,14.521257,46.052453
_9,29,,14.537195,46.056257
_9,30,,14.540736,46.055863
_9,31,,14.538642,46.056129
_9,32,,14.540736,46.055863
_9,33,,14.550416000000002,46.056076000000004
_9,34,,14.550470999999998,46.055068
_9,35,,14.553685999999999,46.054295
_9,36,,14.564331999999999,46.054622
_9,37,,14.566612000000001,46.054149
_9,38,,14.565842,46.052582
_9,39,,14.563412,46.062038
_9,40,,14.57055,46.06216
_8,0,,14.57055,46.06216
_8,1,,14.549429,46.061989999999994
_8,2,,14.545418000000002,46.061194
_8,3,,14.544642,46.062855
_8,4,,14.549323999999999,46.064109
_8,5,,14.548999,46.064729
_8,6,,14.549344,46.06483
_8,7,,14.548824,46.065346
_8,8,,14.548999,46.064729
_8,9,,14.548247,46.066340000000004
_8,10,,14.544279,46.065196
_8,11,,14.542399,46.068326
_8,12,,14.54135,46.068201
_8,13,,14.540638000000001,46.06924
_8,14,,14.536586,46.068308
_8,15,,14.525387,46.062808000000004
_8,16,,14.523931,46.06183
_8,17,,14.522255999999999,46.059976
_8,18,,14.520689999999998,46.059868
_8,19,,14.520796,46.057916
_8,20,,14.520092,46.057142
_8,21,,14.51622,46.05766
_8,22,,14.508528000000002,46.057602
_8,23,,14.507653,46.055401
_8,24,,14.50521,46.055873000000005
_8,25,,14.506018000000001,46.057694
_8,26,,14.503233,46.057705
_8,27,,14.501290000000001,46.056563
_8,28,,14.502643,46.05555
_8,29,,14.502013999999999,46.054772
_8,30,,14.500978,46.052201000000004
_8,31,,14.502981,46.051786
_8,32,,14.501991,46.052002
_8,33,,14.501616000000002,46.051092999999995
_8,34,,14.498603,46.051722999999996
_8,35,,14.497227,46.049043999999995
_8,36,,14.499896000000001,46.048486000000004
_8,37,,14.501296,46.049211
_8,38,,14.502,46.049032
_8,39,,14.500945999999999,46.046303
_8,40,,14.50806,46.045547
_8,41,,14.514254,46.042316
_8,42,,14.517401000000001,46.038983
_8,43,,14.515396,46.041082
_8,44,,14.517337000000001,46.038948
_8,45,,14.514078000000001,46.036879
_8,46,,14.513225,46.036908
_8,47,,14.512635,46.033448
_8,48,,14.531959,46.024411
_8,49,,14.534081,46.021097
_8,50,,14.534451,46.020996000000004
_8,51,,14.536273,46.018747000000005
_8,52,,14.534816000000001,46.018015000000005
_7,0,,14.534816000000001,46.018015000000005
_7,1,,14.536465999999999,46.018711
_7,2,,14.534557000000001,46.020806
_7,3,,14.534646,46.021352
_7,4,,14.534113999999999,46.021377
_7,5,,14.531959,46.024411
_7,6,,14.512635,46.033448
_7,7,,14.513225,46.036908
_7,8,,14.514078000000001,46.036879
_7,9,,14.517401000000001,46.038983
_7,10,,14.514332,46.042374
_7,11,,14.508092,46.045595
_7,12,,14.50097,46.046355999999996
_7,13,,14.502562000000001,46.046081
_7,14,,14.502182,46.043586
_7,15,,14.50049,46.044062000000004
_7,16,,14.501045,46.046349
_7,17,,14.497435999999999,46.046996
_7,18,,14.497774000000001,46.047732
_7,19,,14.498614,46.0478
_7,20,,14.501296,46.049211
_7,21,,14.502081,46.049009999999996
_7,22,,14.502374,46.049445
_7,23,,14.502934,46.050781
_7,24,,14.501616000000002,46.051092999999995
_7,25,,14.501991,46.052002
_7,26,,14.502981,46.051786
_7,27,,14.501991,46.052002
_7,28,,14.502676,46.053566000000004
_7,29,,14.501625,46.053773
_7,30,,14.502643,46.05555
_7,31,,14.504585,46.054417
_7,32,,14.505765,46.05718
_7,33,,14.506387,46.057571
_7,34,,14.51622,46.05766
_7,35,,14.520092,46.057142
_7,36,,14.520796,46.057916
_7,37,,14.520689999999998,46.059868
_7,38,,14.520779999999998,46.059162
_7,39,,14.520802,46.059765
_7,40,,14.522217000000001,46.059866
_7,41,,14.523995,46.061792000000004
_7,42,,14.525450000000001,46.062782
_7,43,,14.524147,46.062005
_7,44,,14.524728,46.062901
_7,45,,14.525450000000001,46.062782
_7,46,,14.537791000000002,46.068616
_7,47,,14.537181,46.068544
_7,48,,14.533697,46.066969
_7,49,,14.537291999999999,46.068483
_7,50,,14.540683999999999,46.069152
_7,51,,14.541389,46.068037
_7,52,,14.542399,46.068326
_7,53,,14.544243,46.065021
_7,54,,14.547989999999999,46.066163
_7,55,,14.548999,46.064729
_7,56,,14.549344,46.06483
_7,57,,14.548824,46.065346
_7,58,,14.549192999999999,46.064163
_7,59,,14.544351,46.062853000000004
_7,60,,14.545154,46.061643
_7,61,,14.545188999999999,46.061042
_7,62,,14.549938000000001,46.061897
_7,63,,14.57055,46.06216
_6,0,,14.455507,46.044933
_6,1,,14.453737,46.046262
_6,2,,14.453738000000001,46.047736
_6,3,,14.460387,46.04723
_6,4,,14.466157,46.047319
_6,5,,14.471789999999999,46.045407
_6,6,,14.477129,46.044688
_6,7,,14.479894999999999,46.044869
_6,8,,14.481105,46.045339
_6,9,,14.480071,46.047247
_6,10,,14.487921,46.049396
_6,11,,14.492574,46.051564
_6,12,,14.497658000000001,46.049824
_6,13,,14.498603,46.051722999999996
_6,14,,14.501616000000002,46.051092999999995
_6,15,,14.501991,46.052002
_6,16,,14.502981,46.051786
_6,17,,14.501991,46.052002
_6,18,,14.502676,46.053566000000004
_6,19,,14.501625,46.053773
_6,20,,14.501785000000002,46.054294
_6,21,,14.502643,46.05555
_6,22,,14.504585,46.054417
