trip_id,arrival_time,departure_time,stop_id,stop_sequence
1,06:00:00,06:00:00,1000,1
1,06:01:30,06:01:30,1001,2
1,06:03:00,06:03:00,1002,3
1,06:04:30,06:04:30,1003,4
1,06:06:00,06:06:00,1004,5
1,06:07:30,06:07:30,1005,6
1,06:09:00,06:09:00,1006,7
1,06:10:30,06:10:30,1007,8
1,06:12:00,06:12:00,1008,9
1,06:13:30,06:13:30,1009,10
1,06:15:00,06:15:00,1010,11
1,06:16:30,06:16:30,1011,12
1,06:18:00,06:18:00,1012,13
1,06:19:30,06:19:30,1013,14
1,06:21:00,06:21:00,1014,15
1,06:22:30,06:22:30,1015,16
1,06:24:00,06:24:00,1016,17
1,06:25:30,06:25:30,1017,18
1,06:27:00,06:27:00,1018,19
1,06:28:30,06:28:30,1019,20
1,06:30:00,06:30:00,1020,21
1,06:31:30,06:31:30,1021,22
1,06:33:00,06:33:00,1022,23
1,06:34:30,06:34:30,1023,24
2,06:00:00,06:00:00,1024,1
2,06:01:30,06:01:30,1025,2
2,06:03:00,06:03:00,1026,3
2,06:04:30,06:04:30,1027,4
2,06:06:00,06:06:00,1028,5
2,06:07:30,06:07:30,1029,6
2,06:09:00,06:09:00,1030,7
2,06:10:30,06:10:30,1031,8
2,06:12:00,06:12:00,1032,9
2,06:13:30,06:13:30,1033,10
2,06:15:00,06:15:00,1034,11
2,06:16:30,06:16:30,1035,12
2,06:18:00,06:18:00,1036,13
2,06:19:30,06:19:30,1037,14
2,06:21:00,06:21:00,1038,15
2,06:22:30,06:22:30,1039,16
2,06:24:00,06:24:00,1040,17
2,06:25:30,06:25:30,1041,18
2,06:27:00,06:27:00,1042,19
2,06:28:30,06:28:30,1043,20
2,06:30:00,06:30:00,1044,21
2,06:31:30,06:31:30,1045,22
2,06:33:00,06:33:00,1046,23
2,06:34:30,06:34:30,1047,24
2,06:36:00,06:36:00,1048,25
2,06:37:30,06:37:30,1049,26
2,06:39:00,06:39:00,1050,27
2,06:40:30,06:40:30,1051,28
2,06:42:00,06:42:00,1052,29
3,06:00:00,06:00:00,1161,1
3,06:01:30,06:01:30,1162,2
3,06:03:00,06:03:00,1163,3
3,06:04:30,06:04:30,1164,4
3,06:06:00,06:06:00,1165,5
3,06:07:30,06:07:30,1166,6
3,06:09:00,06:09:00,1167,7
3,06:10:30,06:10:30,1168,8
3,06:12:00,06:12:00,1169,9
3,06:13:30,06:13:30,1170,10
3,06:15:00,06:15:00,1171,11
3,06:16:30,06:16:30,1172,12
3,06:18:00,06:18:00,1173,13
3,06:19:30,06:19:30,1174,14
3,06:21:00,06:21:00,1175,15
3,06:22:30,06:22:30,1176,16
3,06:24:00,06:24:00,1177,17
3,06:25:30,06:25:30,1178,18
3,06:27:00,06:27:00,1179,19
